Œv‘ª“ú,’™…ˆÊ,DP-09-01,DP-09-02,DP-09-03,DP-10-01,DP-10-02,DP-10-03,DP-11-01,DP-11-02,DP-11-03,DP-12-01,DP-12-02,DP-12-03,DP-13-01,DP-13-02,DP-13-03,DP-14-01,DP-14-02,DP-14-03,DP-15-01,DP-15-02,DP-15-03
1991/2/2,190.57,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/3,190.49,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/4,190.47,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/5,190.46,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/6,190.47,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/7,190.46,0.05,0.01,0.02,0.01,0,0,0.04,0.08,0.04,0.14,0.08,0.11,0.07,0.01,0.16,0.12,0.11,0.07,0.06,0.07,0.04
1991/2/8,190.44,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/9,190.44,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/10,190.45,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/11,190.46,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/12,190.47,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/13,190.47,0.05,0.01,0.02,0.01,0,0,0.04,0.08,0.04,0.14,0.08,0.12,0.07,0.01,0.16,0.12,0.11,0.07,0.06,0.07,0.04
1991/2/14,190.48,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/15,190.48,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/16,190.53,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/17,190.51,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/18,190.45,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/19,189.71,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/20,188.94,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/21,188.15,0.05,0,0.02,0.01,0,0,0.03,0.07,0.04,0.13,0.08,0.12,0.07,0.02,0.15,0.12,0.11,0.07,0.06,0.07,0.04
1991/2/22,187.35,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/23,186.52,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/24,185.64,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/25,185.09,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/26,184.63,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/27,184.07,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/2/28,183.36,0.03,0,0.01,0,0,0,0.02,0.06,0.04,0.12,0.07,0.1,0.06,0,0.14,0.11,0.1,0.06,0.06,0.07,0.04
1991/3/1,182.88,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/2,182.44,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/3,181.9,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/4,181.94,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/5,181.12,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/6,181.59,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/7,182.17,0.03,0,0.01,0,0,0,0.02,0.06,0.03,0.12,0.07,0.08,0.06,0,0.14,0.1,0.1,0.05,0.06,0.06,0.03
1991/3/8,182.1,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/9,181.43,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/10,180.8,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/11,180.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/12,179.77,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/13,178.96,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/14,178.07,0.02,0,0.01,0,0,0,0.02,0.05,0.03,0.11,0.06,0.08,0.06,0,0.13,0.09,0.09,0.05,0.05,0.05,0.03
1991/3/15,177.25,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/16,176.33,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/17,175.64,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/18,175.61,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/19,175.07,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/20,174.45,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/21,173.62,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/22,173.25,0.01,0.01,0,0,0,0,0.01,0.05,0.03,0.1,0.05,0.07,0.05,0,0.12,0.09,0.09,0.04,0.05,0.05,0.02
1991/3/23,172.64,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/24,171.94,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/25,171.6,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/26,170.88,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/27,169.94,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/28,169.12,0.01,0,0,0,0,0,0.01,0.04,0.03,0.09,0.05,0.07,0.04,0,0.11,0.08,0.09,0.04,0.04,0.05,0.01
1991/3/29,168.29,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/30,167.78,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/3/31,167.38,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan,Nan
1991/4/1,167.11,0,0,0,0,0,0,0.01,0.04,0.02,0.09,0.05,0.07,0.05,0,0.11,0.08,0.08,0.04,0.04,0.05,0.01
1991/4/2,167.62,0,0,0,0,0,0,0.01,0.04,0.02,0.09,0.05,0.07,0.05,0,0.11,0.08,0.08,0.04,0.04,0.05,0.01
1991/4/3,168.32,0,0,0,0,0,0,0.01,0.05,0.02,0.1,0.05,0.07,0.04,0,0.11,0.08,0.08,0.05,0.04,0.05,0.02
1991/4/4,169.27,0,0,0,0,0,0,0.01,0.05,0.02,0.1,0.05,0.07,0.05,0,0.11,0.08,0.08,0.05,0.04,0.05,0.02
1991/4/5,170.33,0.01,0,0,0,0,0,0.01,0.05,0.02,0.1,0.05,0.07,0.05,0,0.11,0.09,0.08,0.05,0.04,0.05,0.02
1991/4/6,170.94,0.01,0,0,0,0,0,0.01,0.05,0.02,0.1,0.05,0.07,0.05,0,0.12,0.09,0.08,0.05,0.04,0.05,0.03
1991/4/7,172.05,0.02,0,0,0,0,0,0.02,0.05,0.02,0.1,0.06,0.08,0.05,0,0.12,0.1,0.09,0.05,0.04,0.06,0.02
1991/4/8,173.02,0.02,0,0,0,0,0,0.02,0.05,0.02,0.1,0.06,0.08,0.05,0,0.12,0.1,0.09,0.05,0.04,0.06,0.02
1991/4/9,175.38,0.02,0,0,0,0,0,0.02,0.05,0.03,0.11,0.06,0.08,0.06,0,0.12,0.1,0.09,0.05,0.05,0.06,0.02
1991/4/10,176.94,0.03,0,0.01,0,0,0,0.02,0.05,0.03,0.11,0.06,0.08,0.06,0.01,0.13,0.1,0.09,0.05,0.05,0.06,0.03
1991/4/11,178.32,0.03,0,0.01,0,0,0,0.02,0.06,0.03,0.11,0.06,0.09,0.06,0.01,0.13,0.1,0.09,0.05,0.05,0.06,0.03
1991/4/12,179.82,0.03,0,0.01,0,0,0,0.02,0.06,0.03,0.11,0.07,0.09,0.06,0.01,0.14,0.1,0.09,0.06,0.05,0.06,0.03
1991/4/13,180.89,0.03,0,0.01,0,0,0,0.02,0.06,0.03,0.12,0.07,0.09,0.06,0.01,0.14,0.1,0.1,0.06,0.05,0.06,0.04
1991/4/14,182.91,0.04,0,0.02,0,0,0,0.02,0.06,0.03,0.12,0.07,0.1,0.07,0.01,0.14,0.1,0.1,0.06,0.05,0.06,0.04
1991/4/15,185.56,0.04,0,0.02,0.01,0,0,0.03,0.06,0.03,0.12,0.08,0.1,0.07,0.01,0.14,0.11,0.1,0.06,0.06,0.06,0.04
1991/4/16,186.69,0.04,0,0.02,0.01,0,0,0.03,0.06,0.03,0.13,0.08,0.1,0.07,0.01,0.15,0.11,0.1,0.06,0.06,0.06,0.04
1991/4/17,187.63,0.05,0,0.02,0.01,0,0,0.03,0.06,0.03,0.13,0.08,0.1,0.07,0.01,0.15,0.11,0.1,0.06,0.06,0.06,0.04
1991/4/18,188.3,0.05,0,0.02,0.01,0,0,0.03,0.06,0.04,0.13,0.08,0.1,0.07,0.02,0.15,0.11,0.1,0.06,0.06,0.06,0.04
1991/4/19,190.77,0.05,0,0.02,0.01,0,0,0.03,0.06,0.03,0.14,0.09,0.1,0.07,0.02,0.15,0.11,0.11,0.06,0.06,0.06,0.04
1991/4/20,191.37,0.06,0,0.02,0.01,0,0,0.04,0.07,0.04,0.14,0.09,0.11,0.08,0.02,0.16,0.11,0.11,0.06,0.06,0.06,0.04
1991/4/21,191.51,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.14,0.09,0.11,0.07,0.02,0.16,0.11,0.11,0.06,0.06,0.06,0.04
1991/4/22,191.52,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.14,0.09,0.11,0.07,0.02,0.16,0.11,0.11,0.07,0.06,0.06,0.04
1991/4/23,191.53,0.05,0,0.03,0.01,0,0,0.04,0.07,0.04,0.14,0.09,0.11,0.07,0.03,0.16,0.11,0.11,0.07,0.06,0.06,0.04
1991/4/24,191.85,0.06,0,0.03,0.01,0,0,0.04,0.07,0.04,0.14,0.09,0.11,0.08,0.03,0.16,0.11,0.11,0.07,0.06,0.06,0.04
1991/4/25,192.27,0.05,0,0.03,0.01,0,0,0.04,0.07,0.04,0.14,0.1,0.11,0.07,0.03,0.16,0.11,0.11,0.07,0.06,0.06,0.04
1991/4/26,192.68,0.06,0,0.03,0.01,0,0,0.04,0.07,0.04,0.15,0.1,0.11,0.08,0.03,0.16,0.11,0.11,0.07,0.06,0.06,0.04
1991/4/27,193.26,0.06,0,0.03,0.02,0,0,0.04,0.07,0.04,0.15,0.1,0.11,0.08,0.03,0.17,0.11,0.11,0.07,0.07,0.07,0.04
1991/4/28,193.65,0.06,0,0.03,0.02,0,0,0.04,0.08,0.04,0.15,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.04
1991/4/29,194.03,0.06,0,0.03,0.02,0,0,0.04,0.08,0.04,0.15,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.04
1991/4/30,194.75,0.06,0,0.03,0.02,0,0,0.05,0.08,0.04,0.15,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/1,195.18,0.07,0,0.03,0.02,0,0,0.05,0.08,0.04,0.15,0.1,0.11,0.08,0.03,0.17,0.12,0.12,0.07,0.07,0.07,0.04
1991/5/2,195.26,0.07,0,0.03,0.02,0,0,0.05,0.08,0.05,0.16,0.11,0.12,0.08,0.03,0.17,0.12,0.12,0.07,0.07,0.07,0.05
1991/5/3,195.24,0.07,0,0.03,0.02,0,0,0.05,0.08,0.05,0.16,0.11,0.12,0.08,0.03,0.17,0.12,0.12,0.07,0.07,0.07,0.05
1991/5/4,195.01,0.07,0,0.03,0.02,0,0,0.05,0.08,0.05,0.16,0.1,0.12,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/5,194.69,0.06,0,0.03,0.02,0,0,0.05,0.08,0.05,0.16,0.1,0.11,0.08,0.03,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/6,194.55,0.06,0,0.02,0.02,0,0,0.05,0.08,0.05,0.16,0.1,0.11,0.07,0.03,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/7,194.62,0.06,0,0.02,0.02,0,0,0.05,0.08,0.04,0.16,0.1,0.11,0.07,0.03,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/8,194.78,0.06,0,0.02,0.02,0,0,0.05,0.08,0.04,0.16,0.1,0.12,0.07,0.03,0.16,0.12,0.11,0.07,0.06,0.07,0.04
1991/5/9,194.98,0.06,0,0.03,0.02,0,0,0.05,0.08,0.05,0.16,0.11,0.12,0.08,0.04,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/10,195.29,0.06,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.12,0.08,0.04,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/11,195.43,0.07,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.12,0.08,0.04,0.17,0.12,0.12,0.07,0.07,0.07,0.05
1991/5/12,195.17,0.07,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.12,0.08,0.03,0.17,0.12,0.12,0.07,0.07,0.07,0.05
1991/5/13,194.99,0.07,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.12,0.08,0.03,0.17,0.12,0.12,0.07,0.07,0.07,0.05
1991/5/14,195.02,0.07,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/15,195.04,0.06,0,0.03,0.02,0,0,0.05,0.08,0.04,0.16,0.11,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/16,194.88,0.06,0,0.03,0.01,0,0,0.05,0.08,0.04,0.16,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/17,194.77,0.06,0,0.03,0.01,0,0,0.05,0.08,0.04,0.16,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/18,194.57,0.06,0,0.03,0.01,0,0,0.05,0.08,0.04,0.16,0.1,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/19,194.49,0.06,0,0.03,0.01,0,0,0.04,0.08,0.04,0.15,0.11,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/20,194.18,0.06,0,0.02,0.01,0,0,0.04,0.08,0.04,0.15,0.11,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/21,193.76,0.06,0,0.02,0.01,0,0,0.04,0.08,0.04,0.15,0.11,0.11,0.08,0.03,0.17,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/22,193.32,0.06,0,0.02,0.01,0,0,0.04,0.08,0.04,0.15,0.11,0.11,0.08,0.03,0.16,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/23,192.86,0.05,0,0.02,0.01,0,0,0.04,0.08,0.04,0.15,0.11,0.11,0.08,0.03,0.16,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/24,192.36,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.15,0.11,0.11,0.08,0.03,0.16,0.12,0.11,0.07,0.07,0.07,0.05
1991/5/25,191.95,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.15,0.1,0.11,0.07,0.02,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/26,191.64,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.15,0.1,0.11,0.07,0.02,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/27,191.54,0.05,0,0.02,0.01,0,0,0.04,0.07,0.04,0.15,0.1,0.11,0.07,0.02,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/28,191.29,0.04,0,0.02,0.01,0,0,0.04,0.07,0.03,0.15,0.1,0.11,0.07,0.02,0.16,0.12,0.11,0.07,0.06,0.07,0.05
1991/5/29,190.95,0.04,0,0.02,0.01,0,0,0.04,0.07,0.03,0.15,0.1,0.11,0.07,0.02,0.16,0.12,0.11,0.07,0.06,0.07,0.05
